Ano,Código Órgão Superior,Nome Órgão Superior,Código Função,Nome Função,Código Subfunção,Nome Subfunção,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
2020,25000,Ministério da Fazenda,04,Administração,129,Administração de receitas,106878317.52000001,67153889.88,67187550.19
2020,53000,Ministério da Integração e do Desenvolvime,09,Previdência social,272,Previdência do regime estatutário,20452570.169999998,44854312.68,64461188.95
2020,49000,Ministério do Desenvolvimento Agrário e Agr,09,Previdência social,272,Previdência do regime estatutário,42626567.19,52312605.949999996,63234671.400000006
2020,63000,Advocacia-Geral da União,03,Essencial à justiça,092,Representação judicial e extrajudicial,59959326.7,82362070.16,63154691.410000004
2020,32000,Ministério de Minas e Energia,19,Ciência e Tecnologia,122,Administração geral,-17230355.9,43919701.49,62121041.0
2020,68000,Ministério de Portos e Aeroportos,26,Transporte,661,Promoção industrial,60437160.67,60437160.67,60437160.67
2020,49000,Ministério do Desenvolvimento Agrário e Agr,08,Assistência social,306,Alimentação e nutrição,192708175.46,110164942.77,59959473.78
2020,37000,Controladoria-Geral da União,04,Administração,122,Administração geral,-2422681.4,66101436.54,59257555.35
2020,55000,Ministério do Desenvolvimento e Assistência,08,Assistência social,306,Alimentação e nutrição,80218628.48,60564302.93,58653585.61
2020,32000,Ministério de Minas e Energia,22,Indústria,122,Administração geral,37740613.32,44011473.85,57969457.96
2020,26000,Ministério da Educação,12,Educação,301,Atenção básica,3635365.759999999,57960262.64,56932427.64
2020,26000,Ministério da Educação,12,Educação,123,Administração financeira,0.0,56900007.26,56900007.26
2020,25201,Banco Central do Brasil - Orçamento Fiscal e,04,Administração,846,Outros encargos especiais,17806274.8,19044603.04,56426315.980000004
2020,52000,Ministério da Defesa,06,Segurança pública,182,Defesa civil,-13847875.040000001,50436113.74,56297705.84
2020,36000,Ministério da Saúde,10,Saúde,572,Desenvolvimento tecnológico e engenharia,71575075.32000001,57928041.13,54820666.230000004
2020,36000,Ministério da Saúde,10,Saúde,304,Vigilância sanitária,3949092.9599999995,48393193.24,54133243.269999996
2020,44000,Ministério do Meio Ambiente e Mudança do Cl,09,Previdência social,272,Previdência do regime estatutário,49115424.64999999,56426477.41,53241592.69
2020,20000,Presidência da República,24,Comunicações,122,Administração geral,17097218.63,25796699.580000002,51619301.23
2020,26000,Ministério da Educação,10,Saúde,122,Administração geral,164164969.22,39790535.86,50080093.61
2020,55000,Ministério do Desenvolvimento e Assistência,08,Assistência social,243,Assistência à criança e ao adolescente,89511.0,12868785.64,48418999.35
2020,68000,Ministério de Portos e Aeroportos,26,Transporte,122,Administração geral,563808.4199999995,46778942.2,48397367.45
2020,42000,Ministério da Cultura,13,Cultura,122,Administração geral,-1002861.4000000001,50799546.78,48392863.660000004
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",24,Comunicações,126,Tecnologia da informação,43205303.0,48205303.0,48207589.85
2020,53000,Ministério da Integração e do Desenvolvime,06,Segurança pública,182,Defesa civil,161756053.67,46231764.27,46647555.59
2020,35000,Ministério das Relações Exteriores,09,Previdência social,272,Previdência do regime estatutário,4302851.840000001,30699747.889999997,44156969.39
2020,36000,Ministério da Saúde,10,Saúde,512,Saneamento básico urbano,254471460.85,45966419.01,43192400.89
2020,30000,Ministério da Justiça e Segurança Pública,06,Segurança pública,421,Custódia e reintegração social,189844790.98000002,41948725.08,42191868.07
2020,53000,Ministério da Integração e do Desenvolvime,15,Urbanismo,244,Assistência comunitária,2090310549.25,27626292.7,41890380.73
2020,36000,Ministério da Saúde,10,Saúde,331,Proteção e benefícios ao trabalhador,-53419051.970000006,40517313.330000006,40960829.14
2020,41000,Ministério das Comunicações,24,Comunicações,122,Administração geral,26296327.400000002,40632429.21,40627080.800000004
2020,25000,Ministério da Fazenda,20,Agricultura,608,Promoção da produção agropecuária,-94545024.44,39195039.29,39195039.29
